FECHA_DOC,FECHA_ENT
2022-02-28,2022-02-22 00:00:00
2022-02-28,2022-02-16 00:00:00
2022-02-28,2022-02-18 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-08 00:00:00
2022-02-28,2022-02-15 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-25 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-22 00:00:00
2022-02-28,2022-03-02 00:00:00
2022-02-28,2022-02-15 00:00:00
2022-02-28,2022-02-08 00:00:00
2022-02-28,2022-02-04 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-03-04 00:00:00
2022-02-28,2022-03-04 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-24 00:00:00
2022-02-28,2022-02-25 00:00:00
2022-02-28,2022-03-01 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-18 00:00:00
2022-02-28,2022-03-01 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-03-04 00:00:00
2022-02-28,2022-02-15 00:00:00
2022-02-28,2022-02-28 00:00:00
2022-02-28,2022-02-26 00:00:00
